,sitecode,nodename,model,loopback_id,router_id,menagement_ip,node_type,region,vendor
2982,SKYHP,RAC_SKYHP21C,CISCO_ASR920CC,,,10.122.18.103,RAC,BKK,Cisco
2983,KNKON_PE02,POIC_KNKON_PE02,CISCO_7606S,,,,POIC,BKK,Cisco
2984,CK75M,RAC_CK75M21C,CISCO_ASR920CC,,,10.122.65.153,RAC,BKK,Cisco
2985,LPNBP,RAC_LPNBP01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.122.73.225,10.124.45.54,RAC,BKK,Cisco
2986,GMBEP,RAC_GMBEP21C,CISCO_ASR920CC,,,10.122.14.45,RAC,BKK,Cisco
2987,MGPWP,RAC_MGPWP21C,CISCO_ASR920CC,,,10.122.19.85,RAC,BKK,Cisco
2988,TLBSM,RAC_TLBSM21C,CISCO_ASR920CC,,,10.122.15.181,RAC,BKK,Cisco
2989,SYRTM,RAC_SYRTM21C,CISCO_ASR920CC,,,10.122.68.182,RAC,BKK,Cisco
2990,BTS2M,RAC_BTS2M21C,CISCO_ASR920CC,,,10.122.44.230,RAC,BKK,Cisco
2991,NVSMP,RAC_NVSMP21C,CISCO_ASR920CC,,,10.122.14.247,RAC,BKK,Cisco
2992,PNC2M,RAC_PNC2M21C,CISCO_ASR920CC,,,10.122.48.21,RAC,BKK,Cisco
2993,RGIOP,RAC_RGIOP21C,CISCO_ASR920CC,,,10.122.27.12,RAC,BKK,Cisco
2994,TSM5M,RAC_TSM5M21C,CISCO_ASR920CC,,,10.122.41.184,RAC,BKK,Cisco
2995,SIAMP,RAC_SIAMP31C,CISCO_ASR920CC,,,10.124.39.9,RAC,BKK,Cisco
2996,KP67M,RAC_KP67M51C,ciscoNCS540,Loopback0,10.64.3.170,10.124.210.170,RAC,BKK,Cisco
2997,LTK2P,RAC_LTK2P21C,CISCO_ASR920CC,,,10.122.8.221,RAC,BKK,Cisco
2998,IT07M,RAC_IT07M21C,CISCO_ASR920CC,,,10.122.10.229,RAC,BKK,Cisco
2999,PUTHM,RAC_PUTHM21C,CISCO_ASR920CC,,,10.125.193.71,RAC,BKK,Cisco
3000,KSNMM,RAC_KSNMM21C,CISCO_ASR920CC,,,10.124.90.166,RAC,BKK,Cisco
3001,WT11M,RAC_WT11M21C,CISCO_ASR920CC,,,10.122.25.151,RAC,BKK,Cisco
3002,SPPWM,RAC_SPPWM21C,CISCO_ASR920CC,,,10.122.45.197,RAC,BKK,Cisco
3003,SK34M,RAC_SK34M01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.122.74.7,10.124.55.228,RAC,BKK,Cisco
3004,KCT1B,RAC_KCT1B21C,CISCO_ASR920CC,,,10.122.26.188,RAC,BKK,Cisco
3005,MHBKP,RAC_MHBKP01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.122.73.186,10.124.43.53,RAC,BKK,Cisco
3006,MCD3M,RAC_MCD3M51C,ciscoNCS540,Loopback0,10.64.2.151,10.124.209.151,RAC,BKK,Cisco
3007,SMC5M,RAC_SMC5M51C,ciscoNCS540,Loopback0,10.64.12.79,10.124.209.2,RAC,BKK,Cisco
3008,FFKUM,RAC_FFKUM21C,CISCO_ASR920CC,,,10.122.33.138,RAC,BKK,Cisco
3009,S117M,RAC_S117M21C,CISCO_ASR920CC,,,10.122.48.38,RAC,BKK,Cisco
3010,NTWPM,RAC_NTWPM03C,CISCO_MWR_2941_DC_A,Loopback0,10.122.73.177,10.122.67.20,RAC,BKK,Cisco
3011,GL39P,RAC_GL39P21C,CISCO_ASR920CC,,,10.122.33.68,RAC,BKK,Cisco
3012,MEN1M,RAC_MEN1M21C,CISCO_ASR920CC,,,10.122.12.157,RAC,BKK,Cisco
3013,JMTNWJ,RAC_JMTNWJ01C_E1,CISCO_MWR_2941_DC_A,Loopback0,10.122.74.5,10.122.8.20,RAC,BKK,Cisco
3014,SWTRM,RAC_SWTRM21C,CISCO_ASR920CC,,,10.122.24.246,RAC,BKK,Cisco
3015,WLSMM,RAC_WLSMM21C,CISCO_ASR920CC,,,10.122.30.167,RAC,BKK,Cisco
3016,RTSNP,RAC_RTSNP21C,CISCO_ASR920CC,,,10.122.43.250,RAC,BKK,Cisco
3017,CCASM,RAC_CCASM21C,CISCO_ASR920CC,,,10.122.17.117,RAC,BKK,Cisco
3018,IMAXP,RAC_IMAXP01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.122.73.30,10.124.42.228,RAC,BKK,Cisco
3019,RMRDM,RAC_RMRDM21C,CISCO_ASR920CC,,,10.122.13.89,RAC,BKK,Cisco
3020,KPKUM,RAC_KPKUM21C,CISCO_ASR920CC,,,10.122.26.107,RAC,BKK,Cisco
3021,UPLCP,RAC_UPLCP01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.122.72.154,10.124.64.4,RAC,BKK,Cisco
3022,TOTKM,RAC_TOTKM21C,CISCO_ASR920CC,,,10.122.12.190,RAC,BKK,Cisco
3023,LKBSM,RAC_LKBSM21C,CISCO_ASR920CC,,,10.122.67.148,RAC,BKK,Cisco
3024,NTWBP,RAC_NTWBP21C,CISCO_ASR920CC,,,10.122.22.247,RAC,BKK,Cisco
